ENTIDAD,ENT_KEY,DISTRITO,DIST_CH,N_PARTY_COLS,PARTY_COLS,TOTAL_VOTOS,N_WINNERS,WINNERS,SIGLADO_DOMINANTE,SIGLADO_PRESENT
MÉXICO,MXICO,6,006,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,226428,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
MÉXICO,MXICO,7,007,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,237014,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
MÉXICO,MXICO,8,008,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,217381,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
MÉXICO,MXICO,9,009,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,197733,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
MÉXICO,MXICO,10,010,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,180662,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
MÉXICO,MXICO,11,011,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,185401,1,MORENA,,False
MÉXICO,MXICO,12,012,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,167444,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
MÉXICO,MXICO,13,013,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,231673,1,MORENA,,False
MÉXICO,MXICO,14,014,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,176282,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
MÉXICO,MXICO,15,015,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,229415,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
MÉXICO,MXICO,16,016,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,190335,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
MÉXICO,MXICO,17,017,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,170538,1,MORENA,,False
MÉXICO,MXICO,18,018,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,242916,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
MÉXICO,MXICO,19,019,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,284865,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
MÉXICO,MXICO,20,020,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,158222,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
MÉXICO,MXICO,21,021,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,196654,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
